"transaction_description","category","country","currency"
"Wage","Income","USA","USD"
"Arby's (Contactless)","Food & Dining","AUSTRALIA","AUD"
"Occupational Therapy","Healthcare & Medical","USA","USD"
"Potbelly Store Branch","Food & Dining","UK","GBP"
"Amazon - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"Dairy Queen","Food & Dining","CANADA","CAD"
"UCLA Medical #7731 - UK Center TXN176162","Healthcare & Medical","UK","GBP"
"Walgreens #8780","Healthcare & Medical","AUSTRALIA","AUD"
"Starlink","Utilities & Services","USA","USD"
"Cox","Utilities & Services","UK","GBP"
"Public WiFi #7514","Utilities & Services","UK","GBP"
"Tennis Court #7639 - AUSTRALIA","Entertainment & Recreation","AUSTRALIA","AUD"
"Equinox #2852","Entertainment & Recreation","UK","GBP"
"Dividend - AUSTRALIA","Income","AUSTRALIA","AUD"
"Walmart Store","Shopping & Retail","AUSTRALIA","AUD"
"Direct Deposit - CANADA","Income","CANADA","CAD"
"TJ Maxx","Shopping & Retail","INDIA","INR"
"Culver's #2534 - INDIA","Food & Dining","INDIA","INR"
"Franchise #2681","Income","UK","GBP"
"Cleveland Clinic","Healthcare & Medical","AUSTRALIA","AUD"
"Part-time #5644 - Holiday","Income","UK","GBP"
"Retirement TXN109720","Financial Services","USA","USD"
"SPCA Store","Charity & Donations","UK","GBP"
"Senior Center - CANADA","Charity & Donations","CANADA","CAD"
"Bojangles Store","Food & Dining","CANADA","CAD"
"Sick Pay #4110 Branch","Income","INDIA","INR"
"Community Center Online","Charity & Donations","UK","GBP"
"Dunkin' Donuts (Contactless)","Food & Dining","AUSTRALIA","AUD"
"eBay #9213 Branch","Shopping & Retail","CANADA","CAD"
"Lyft Online","Transportation","AUSTRALIA","AUD"
"Planet Fitness TXN722088","Entertainment & Recreation","AUSTRALIA","AUD"
"Chiropractor","Healthcare & Medical","USA","USD"
"Sparklight","Utilities & Services","AUSTRALIA","AUD"
"Taco Bell","Food & Dining","AUSTRALIA","AUD"
"Museum - Night","Entertainment & Recreation","INDIA","INR"
"Direct Deposit #2210 (Contactless)","Income","CANADA","CAD"
"PNC Bank - INDIA","Financial Services","INDIA","INR"
"UCLA Medical #1010 Store - Night","Healthcare & Medical","CANADA","CAD"
"Staples Downtown","Shopping & Retail","CANADA","CAD"
"Surgery - USA Store Center","Healthcare & Medical","USA","USD"
"Charity #2654 - USA TXN741929","Charity & Donations","USA","USD"
"Phone Company #9454","Utilities & Services","INDIA","INR"
"Refund - USA","Income","USA","USD"
"Dunkin' Donuts Store Center","Food & Dining","CANADA","CAD"
"Baskin-Robbins #6122 - UK - Night","Food & Dining","UK","GBP"
"Mobile Hotspot #5027","Utilities & Services","INDIA","INR"
"Internet Provider Store (Bank Transfer)","Utilities & Services","USA","USD"
"Windstream #2275","Utilities & Services","UK","GBP"
"WiFi #8044 (Cash)","Utilities & Services","USA","USD"
"Mount Sinai #9506 - CANADA Airport","Healthcare & Medical","CANADA","CAD"
"Pharmacy #4314 - USA Store Branch","Healthcare & Medical","USA","USD"
"Vacation Pay #5696 TXN747845","Income","UK","GBP"
"Water Company #7218","Utilities & Services","AUSTRALIA","AUD"
"Panda Express","Food & Dining","USA","USD"
"Pediatrician #5935 Online","Healthcare & Medical","CANADA","CAD"
"AT&T","Utilities & Services","CANADA","CAD"
"Sparklight","Utilities & Services","UK","GBP"
"RCN #7190 - CANADA - Lunch Time","Utilities & Services","CANADA","CAD"
"Baskin-Robbins Online","Food & Dining","INDIA","INR"
"Specialist #4423","Healthcare & Medical","INDIA","INR"
"Blood Test (Cash)","Healthcare & Medical","USA","USD"
"Surgery","Healthcare & Medical","INDIA","INR"
"IRS #5712 - CANADA","Government & Legal","CANADA","CAD"
"Rally's","Food & Dining","CANADA","CAD"
"T-Mobile","Utilities & Services","INDIA","INR"
"Rental Income #7899 - AUSTRALIA","Income","AUSTRALIA","AUD"
"CVS #2548 (Bank Transfer)","Healthcare & Medical","AUSTRALIA","AUD"
"Tax - AUSTRALIA - Evening","Government & Legal","AUSTRALIA","AUD"
"Psychiatrist #7376","Healthcare & Medical","INDIA","INR"
"Swimming Pool","Entertainment & Recreation","UK","GBP"
"Tim Hortons - USA Store","Food & Dining","USA","USD"
"Maternity Leave","Income","USA","USD"
"GoFundMe Center","Charity & Donations","UK","GBP"
"Notary Online Branch Station","Government & Legal","INDIA","INR"
"Von Maur Airport","Shopping & Retail","INDIA","INR"
"Getaround Store","Transportation","UK","GBP"
"BP","Transportation","INDIA","INR"
"Cinemark","Entertainment & Recreation","USA","USD"
"Panda Express TXN167726","Food & Dining","USA","USD"
"Fiber #2363 - UK Residential","Utilities & Services","UK","GBP"
"PNC Bank","Financial Services","CANADA","CAD"
"GameStop Store Branch","Shopping & Retail","INDIA","INR"
"Shake Shack - AUSTRALIA TXN171368","Food & Dining","AUSTRALIA","AUD"
"Legal #4154 - USA","Government & Legal","USA","USD"
