Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"4,878.20",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"4,878.20",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"4,878.20",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"4,878.20",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"4,878.20",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"12,195.50",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"12,195.50",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"12,195.50",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074083,"56,099.30",Software Development
Department for Education,Core,06/03/2024,Other Costs,Operational Finance,Mercurius It Ltd.,CORE-PINV-074228,"55,023.90",Software Development
Department for Education,Core,05/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074218,"2,439.10",Software Development
Department for Education,Core,06/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074218,"7,317.30",Software Development
Department for Education,Core,06/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074218,"7,317.30",Software Development
Department for Education,Core,06/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074218,"14,634.60",Software Development
Department for Education,Core,06/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074218,"41,464.70",Software Development
Department for Education,Core,06/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-074218,"53,660.20",Software Development
Department for Education,Core,12/03/2024,Other Costs,Operational Finance,Mercurius It Ltd.,CORE-PINV-074586,"22,500.00",Software Development
Department for Education,Core,12/03/2024,Other Costs,Operational Finance,Mercurius It Ltd.,CORE-PINV-074590,"22,500.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Mercurius It Ltd.,CORE-PINV-076025,"22,642.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076193,"2,400.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076193,"7,200.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076193,"7,200.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076193,"14,400.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076193,"40,800.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076193,"52,800.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076268,"4,800.00",Software Development
Department for Education,Core,28/03/2024,Other Costs,Operational Finance,Agile Management Solutions Ltd,CORE-PINV-076268,"4,800.00",Software Development
